# word<TAB>transcription, as the card carries it; - for a word no dictionary has
aerophobia	/ˌɛə.roʊˈfoʊ.bi.ə/
bachelorette	/ˌbætʃləˈrɛt/
backorder	/ˈbæk(ˌ)ordər/
betrothal	/bɪˈtrəʊ.ðəl/
bling	/blɪŋ/
bodybuilder	/ˈbɑ.diˌbɪl.dər/
boonies	/ˈbuniz/
calzone	/kælˈzoʊn/
carry-on	/ˈkæri ˌɑn/
chickenpox	/ˈt͡ʃɪ.k(ə)nˌpɑks/
churro	/ˈt͡ʃʊroʊ/
clothesline	/ˈkləʊðzlaɪn/
cupping	/ˈkʌpɪŋ/
deadlift	/ˈdɛdlɪft/
dodgy	/ˈdɒd͡ʒ.i/
doo-doo	/dudu/
face-off	/ˈfeɪsˌɑf/
fishcake	/ˈfɪʃˌkeɪk/
flatline	/ˈflætˌlaɪn/
floaty	/ˈfloʊti/
gingivitis	/ˌd͡ʒɪnd͡ʒɪˈvaɪtəs/
go-ahead	/ˈɡoʊəˌhɛd/
heatwave	/ˈhitˌweɪv/
herringbone	/ˈhɛrɪŋˌboʊn/
hygienic	/haɪˈd͡ʒinɪk/
icky	/ˈɪki/
inconsiderate	/ˌɪnkənˈsɪdərɪt/
insole	/ˈɪnsoʊl/
intubate	/ˈɪntʃʊbeɪt/
jack-o'-lantern	/ˈdʒæk.oʊˌlæn.tərn/
jammies	/ˈd͡ʒæm.iz/
juicer	/ˈd͡ʒusɚ/
kink	/ˈkɪŋk/
know-it-all	/ˈnəʉ.ɪt.ol/
mooch	/ˈmut͡ʃ/
motorhead	/ˈmoʊtɚˌhɛd/
o'er	/ɔr/
offside	/ɒfˈsaɪd/
open-minded	/ˈəʊ.pən ˈmaɪn.dɪd/
otoscope	/ˈoʊ̯təskoʊ̯p/
pavlova	/pævˈloʊvə/
payphone	/ˈpeɪˌfoʊn/
penne	/ˈpɛneɪ/
phaser	/ˈfeɪzɚ/
postgraduate	/ˌpəʊstˈɡrædju.ət/
president-elect	/ˌprɛzɪdənt ɪˈlɛkt/
reheat	/riˈhit/
ringtone	/ˈrɪŋˌtəʊn/
sandcastle	/ˈsæn(d)ˌkæsəl/
scrotum	/ˈskroʊ.təm/
see-saw	/ˈsisɔ/
serviette	/ˌsɝ.viˈɛt/
sicko	/ˈsɪkoʊ/
sideburns	/ˈsaɪd.bɚnz/
sirloin	/ˈsɝlɔɪn/
sit-up	/ˈsɪt.ʌp/
snowsuit	/ˈsnoʊˌsut/
soul-searching	/ˈsoʊlˌsərtʃɪŋ/
take-out	/ˈteɪkaʊt/
tangy	/ˈtæŋi/
toothache	/ˈtuθˌeɪk/
two-faced	/ˈtuˈfeɪst/
undies	/ˈʌn.dis/
wrinkly	/ˈrɪŋk(ə)li/
zesty	/ˈzɛsti/
